km,departing station,6:31,7:08,7:46,8:11,8:23,8:56,9:08,9:35,10:00,12:05
71.3,Worcester Union,21,136,49,65,199,,129,,81,42
68.8,Biotech Park,,,,,,,,,,
58.7,Grafton,9,63,26,27,127,,50,,27,3
51.5,Westborough,13,94,24,33,174,,76,,16,8
44.2,Southborough,15,86,21,40,130,,73,,22,7
39.0,Ashland,10,91,33,51,159,,52,,13,2
34.3,Framingham,23,124,80,97,163,75,41,47,40,18
32.1,West Natick,35,143,101,88,114,91,30,37,50,20
28.5,Natick Center,30,,79,64,105,84,34,21,24,19
23.8,Wellesley Square,23,,100,95,,81,39,25,15,16
21.8,Wellesley Hills,15,,45,50,,32,13,10,1,2
20.3,Wellesley Farms,11,,44,81,,40,34,19,9,4
16.9,Auburndale,12,,36,37,,42,,7,,1
15.2,West Newton,4,,33,30,,53,,18,,3
13.3,Newtonville,28,,44,42,,71,,23,,3
7.5,Boston Landing,,,,,,,,,,
6.2,West Station,,,,,,,,,,
4.0,Yawkey,-27,-121,-83,-90,,-92,,,,
2.1,Back Bay,-61,-177,-273,-318,-524,-145,-292,-88,-97,-72
0,South Station,,,,,,,,,,
