"","X360","X375","X390","X405","X420","X435","X450","X465","X480","X495","X510","X525","X540","X555","X570","X585","X600","X615","X630","X645","X660","X675","X690","X705"
"Worcester Union",0,4,12,11,52,61,55,34,67,80,76,76,51,43,44,34,13,14,14,14,14,13,14,56
"Grafton",0,5,15,15,73,87,80,50,94,122,121,122,73,60,58,46,17,17,17,17,17,17,18,62
"Westborough",0,7,21,21,106,126,111,66,125,180,180,182,104,83,82,62,19,19,20,19,20,19,20,71
"Southborough",0,9,28,27,135,161,140,79,161,226,225,228,131,105,103,78,23,22,22,23,22,22,23,81
"Ashland",0,10,32,31,166,198,173,99,208,287,280,283,156,120,120,89,24,24,24,24,24,24,25,84
"Framingham",0,13,42,41,208,249,223,150,304,373,356,370,194,143,149,111,29,29,30,30,30,29,30,108
"West Natick",0,17,57,57,257,309,285,211,394,436,408,460,228,160,172,128,36,36,36,36,37,36,36,133
"Natick Center",0,19,64,63,263,314,303,259,462,492,457,543,266,180,184,137,39,39,39,39,40,39,39,155
"Wellesley Square",0,20,68,68,269,318,321,324,506,523,490,615,305,201,199,148,41,40,41,41,42,41,41,172
"Wellesley Hills",0,21,72,71,272,320,331,349,527,541,505,644,319,208,205,153,41,41,41,41,42,41,41,174
"Wellesley Farms",0,22,74,73,275,321,341,376,553,569,533,685,345,227,216,160,42,41,43,42,43,42,42,179
"Auburndale",0,23,77,75,277,324,349,399,569,582,546,700,361,244,217,161,43,42,44,43,43,42,43,180
"West Newton",0,23,77,75,278,324,355,417,582,594,556,717,382,265,219,163,45,44,45,45,46,44,45,184
"Newtonville",0,24,83,82,283,330,366,445,602,606,570,739,410,293,222,165,47,48,47,47,48,47,48,189
"Yawkey",0,24,83,82,283,330,366,445,602,606,570,739,410,293,222,165,47,48,47,47,48,47,48,189
"Back Bay",0,24,83,82,283,330,366,445,602,606,570,739,410,293,222,165,47,48,47,47,48,47,48,189
