"","X360","X375","X390","X405","X420","X435","X450","X465","X480","X495","X510","X525","X540","X555","X570","X585","X600","X615","X630","X645","X660","X675","X690","X705"
"Worcester Union",0,14,0,61,0,111,0,96,0,148,0,122,0,84,0,44,0,24,0,25,0,24,0,57
"Grafton",0,19,0,86,0,159,0,139,0,233,0,186,0,113,0,59,0,31,0,32,0,32,0,63
"Westborough",0,26,0,122,0,228,0,185,0,350,0,276,0,158,0,77,0,36,0,36,0,36,0,72
"Southborough",0,34,0,156,0,292,0,233,0,438,0,346,0,200,0,98,0,42,0,42,0,42,0,82
"Ashland",0,39,0,192,0,361,0,299,0,547,0,423,0,230,0,110,0,44,0,45,0,46,0,85
"Framingham",0,42,12,201,48,411,57,348,100,633,84,509,42,254,32,132,7,50,8,49,7,51,7,108
"West Natick",0,47,28,216,100,472,118,411,193,696,137,599,82,271,55,149,14,56,16,56,14,57,14,133
"Natick Center",0,48,35,221,107,477,137,459,260,749,186,682,120,292,68,158,18,59,19,59,18,61,18,156
"Wellesley Square",0,50,40,227,111,482,156,521,306,783,219,756,157,313,83,169,20,61,21,61,20,63,20,173
"Wellesley Hills",0,50,44,230,114,485,166,549,328,801,237,786,172,322,89,173,20,61,21,61,20,63,20,174
"Wellesley Farms",0,51,46,232,116,487,174,575,355,827,266,828,199,339,101,181,21,62,22,62,21,63,21,179
"Auburndale",0,51,48,234,119,489,182,597,370,840,279,840,216,357,101,182,22,63,23,63,22,64,22,180
"West Newton",0,52,48,235,119,490,188,617,385,850,289,860,238,378,104,183,25,65,25,65,24,66,24,184
"Newtonville",0,53,55,241,127,496,198,644,406,864,302,882,265,405,106,185,27,67,27,67,27,68,26,189
"Yawkey",0,53,55,241,127,496,198,644,406,864,302,882,265,405,106,185,27,67,27,67,27,68,26,189
"Back Bay",0,53,55,241,127,496,198,644,406,864,302,882,265,405,106,185,27,67,27,67,27,68,26,189
