"","X360","X372","X384","X396","X408","X420","X432","X444","X456","X468","X480","X492","X504","X516","X528","X540","X552","X564","X576","X588","X600","X612","X624","X636","X648","X660","X672","X684","X696","X708"
"Worcester Union",0,0,8,10,9,41,51,49,37,29,51,68,62,62,62,44,36,35,37,26,12,11,11,12,11,11,11,11,11,53
"Grafton",0,0,11,13,13,57,72,72,54,42,71,99,98,97,98,61,49,47,49,35,15,15,14,15,14,14,15,14,14,59
"Westborough",0,0,15,18,18,82,104,104,75,54,94,141,147,147,146,89,68,67,67,47,16,16,16,17,17,16,16,16,16,68
"Southborough",0,0,19,23,23,105,134,131,93,65,120,180,182,182,182,110,86,85,86,57,19,19,18,19,19,18,18,18,18,77
"Ashland",0,0,22,26,26,128,162,162,115,81,154,229,227,228,227,131,99,98,99,65,20,20,20,20,21,20,20,20,19,79
"Framingham",0,0,30,35,34,162,204,202,154,121,225,309,287,287,300,164,118,118,121,82,25,25,24,25,25,24,24,23,24,101
"West Natick",0,0,39,46,47,200,250,250,205,170,295,374,331,332,380,197,132,134,141,93,31,31,29,30,31,29,29,29,30,126
"Natick Center",0,0,44,51,53,204,255,255,229,212,347,427,369,373,453,231,147,147,151,101,33,34,32,33,33,32,32,32,32,148
"Wellesley Square",0,0,48,56,56,208,259,259,260,263,386,452,396,397,520,264,165,163,164,107,35,35,33,34,35,33,33,33,34,164
"Wellesley Hills",0,0,50,59,59,211,261,262,274,283,403,466,411,411,546,277,170,168,168,110,35,35,33,34,35,33,33,33,34,166
"Wellesley Farms",0,0,51,60,61,212,263,264,287,305,426,489,432,433,583,299,186,181,177,116,36,36,35,35,35,34,34,34,35,170
"Auburndale",0,0,53,62,63,214,265,266,299,322,440,498,442,443,595,311,200,188,178,117,36,37,35,36,36,35,34,35,35,171
"West Newton",0,0,54,63,64,214,266,267,308,337,454,506,450,451,610,329,216,197,179,119,37,38,36,37,38,37,36,37,37,176
"Newtonville",0,0,57,67,68,220,269,270,323,359,470,518,461,462,630,351,239,209,181,121,40,40,38,39,40,39,38,38,39,180
"Yawkey",0,0,57,67,68,220,269,270,323,359,470,518,461,462,630,351,239,209,181,121,40,40,38,39,40,39,38,38,39,180
"Back Bay",0,0,57,67,68,220,269,270,323,359,470,518,461,462,630,351,239,209,181,121,40,40,38,39,40,39,38,38,39,180
