"","X360","X372","X384","X396","X408","X420","X432","X444","X456","X468","X480","X492","X504","X516","X528","X540","X552","X564","X576","X588","X600","X612","X624","X636","X648","X660","X672","X684","X696","X708"
"Worcester Union",0,8,0,16,0,85,0,83,0,74,0,123,0,117,0,74,0,67,0,35,0,20,0,20,0,20,0,20,0,54
"Grafton",0,11,0,22,0,122,0,121,0,105,0,190,0,187,0,106,0,90,0,46,0,26,0,26,0,26,0,27,0,59
"Westborough",0,15,0,30,0,177,0,171,0,140,0,281,0,283,0,150,0,128,0,59,0,30,0,29,0,29,0,30,0,68
"Southborough",0,19,0,40,0,226,0,216,0,176,0,352,0,354,0,191,0,164,0,73,0,34,0,33,0,33,0,35,0,78
"Ashland",0,22,0,47,0,278,0,269,0,225,0,445,0,441,0,223,0,189,0,82,0,37,0,36,0,36,0,37,0,81
"Framingham",0,22,9,55,10,311,46,309,45,265,77,528,68,500,78,255,22,208,26,99,7,41,6,41,6,40,6,42,6,103
"West Natick",0,22,20,68,23,349,95,355,96,315,148,591,110,542,161,287,37,224,46,111,13,47,12,46,12,45,12,46,12,127
"Natick Center",0,22,25,72,28,354,101,359,121,355,200,643,151,581,234,322,52,237,57,118,16,49,15,48,14,48,15,49,14,149
"Wellesley Square",0,22,28,77,32,358,105,363,152,406,238,669,179,608,302,356,71,251,70,126,18,51,17,49,16,49,16,51,16,166
"Wellesley Hills",0,22,30,79,35,360,107,366,166,428,256,683,192,623,330,369,78,256,75,129,18,51,17,49,16,50,16,51,16,167
"Wellesley Farms",0,22,31,81,37,363,108,368,181,449,280,707,214,644,366,391,93,268,84,134,18,52,17,51,17,51,18,52,17,172
"Auburndale",0,22,33,83,39,363,110,369,193,467,293,714,225,655,378,404,107,275,85,135,19,53,18,51,18,52,18,53,18,173
"West Newton",0,22,34,83,40,364,111,370,203,481,307,723,233,663,391,419,124,284,87,136,21,54,20,53,19,52,20,54,20,177
"Newtonville",0,22,37,88,44,369,116,374,218,503,322,735,246,673,413,442,147,297,88,138,23,56,22,55,22,54,22,55,22,182
"Yawkey",0,22,37,88,44,369,116,374,218,503,322,735,246,673,413,442,147,297,88,138,23,56,22,55,22,54,22,55,22,182
"Back Bay",0,22,37,88,44,369,116,374,218,503,322,735,246,673,413,442,147,297,88,138,23,56,22,55,22,54,22,55,22,182
