"","X360","X370","X380","X390","X400","X410","X420","X430","X440","X450","X460","X470","X480","X490","X500","X510","X520","X530","X540","X550","X560","X570","X580","X590","X600","X610","X620","X630","X640","X650","X660","X670","X680","X690","X700","X710"
"Worcester Union",0,4,0,14,0,39,0,80,0,64,0,59,0,106,0,99,0,85,0,58,0,57,0,28,0,18,0,17,0,17,0,17,0,18,0,52
"Grafton",0,5,0,19,0,55,0,114,0,94,0,86,0,159,0,159,0,132,0,79,0,77,0,37,0,22,0,22,0,22,0,23,0,23,0,57
"Westborough",0,7,0,26,0,78,0,165,0,132,0,114,0,230,0,239,0,194,0,109,0,109,0,48,0,25,0,25,0,25,0,26,0,25,0,66
"Southborough",0,9,0,34,0,100,0,213,0,165,0,141,0,292,0,298,0,242,0,138,0,139,0,58,0,29,0,29,0,28,0,30,0,29,0,75
"Ashland",0,11,0,40,0,121,0,262,0,203,0,181,0,372,0,373,0,297,0,159,0,159,0,65,0,31,0,31,0,31,0,32,0,31,0,77
"Framingham",0,11,4,47,9,128,30,296,39,239,39,213,59,447,57,422,58,359,36,174,20,179,24,75,5,35,5,35,5,34,5,36,6,34,6,98
"West Natick",0,11,9,57,20,138,62,335,80,277,81,253,118,513,94,457,94,432,68,186,31,194,40,85,10,39,11,38,11,38,10,40,10,38,11,122
"Natick Center",0,11,11,62,24,142,67,339,84,280,113,286,160,565,128,490,129,498,100,197,46,203,49,91,13,42,13,40,13,40,13,42,12,41,13,144
"Wellesley Square",0,11,12,65,27,147,70,343,88,283,152,328,193,586,151,512,151,559,131,212,61,214,59,96,14,43,14,42,14,41,15,44,14,42,15,161
"Wellesley Hills",0,11,13,67,30,148,72,345,90,285,169,346,208,598,162,524,161,585,143,217,66,218,64,98,14,43,14,42,14,41,15,44,14,42,15,162
"Wellesley Farms",0,11,14,69,31,149,74,346,91,287,186,364,229,617,181,543,181,617,163,231,79,225,72,102,15,43,15,43,15,42,15,44,15,43,16,166
"Auburndale",0,11,14,71,33,151,75,348,93,290,199,379,239,625,190,551,190,630,174,241,90,226,72,103,15,44,15,43,15,43,15,44,15,44,16,167
"West Newton",0,11,15,71,34,151,76,349,93,290,211,393,252,632,196,558,197,642,187,255,105,227,73,104,16,45,17,44,16,44,17,46,17,45,18,171
"Newtonville",0,11,16,75,38,156,80,351,97,294,227,410,266,641,206,567,205,662,207,275,125,229,74,105,18,47,19,46,18,46,18,47,18,46,19,176
"Yawkey",0,11,16,75,38,156,80,351,97,294,227,410,266,641,206,567,205,662,207,275,125,229,74,105,18,47,19,46,18,46,18,47,18,46,19,176
"Back Bay",0,11,16,75,38,156,80,351,97,294,227,410,266,641,206,567,205,662,207,275,125,229,74,105,18,47,19,46,18,46,18,47,18,46,19,176
