"","X360","X365","X370","X375","X380","X385","X390","X395","X400","X405","X410","X415","X420","X425","X430","X435","X440","X445","X450","X455","X460","X465","X470","X475","X480","X485","X490","X495","X500","X505","X510","X515","X520","X525","X530","X535","X540","X545","X550","X555","X560","X565","X570","X575","X580","X585","X590","X595","X600","X605","X610","X615","X620","X625","X630","X635","X640","X645","X650","X655","X660","X665","X670","X675","X680","X685","X690","X695","X700","X705","X710","X715"
"Worcester Union",0,0,0,0,0,4,5,5,5,5,5,5,12,23,23,23,24,23,23,23,15,14,13,14,14,29,32,31,28,29,29,29,27,27,28,28,24,17,17,17,17,16,17,16,17,17,17,5,6,6,6,5,5,6,6,6,5,6,6,6,6,5,6,6,6,6,5,5,5,5,6,49
"Grafton",0,0,0,0,0,5,7,6,6,6,7,6,17,32,33,32,33,33,33,32,22,20,19,20,20,40,44,44,43,45,44,44,44,43,44,44,35,23,22,23,22,21,22,22,22,23,22,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,53
"Westborough",0,0,0,0,0,8,9,8,8,9,9,9,24,45,45,45,47,46,45,45,29,25,24,25,25,52,58,62,64,65,65,65,63,64,64,65,52,31,30,32,31,31,31,30,31,31,30,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,60
"Southborough",0,0,0,0,0,9,11,11,11,11,11,11,31,57,58,58,59,58,59,58,36,29,29,30,30,67,76,79,79,78,81,81,78,80,79,80,64,39,38,39,38,38,38,38,39,38,38,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,68
"Ashland",0,0,0,0,0,10,13,13,12,13,13,12,37,71,70,71,72,70,71,71,44,37,36,36,37,87,99,99,99,97,100,101,97,100,97,101,78,45,43,45,44,43,44,44,45,44,43,10,9,10,9,9,9,9,10,10,9,10,10,10,9,9,10,9,10,9,9,10,10,9,9,70
"Framingham",0,0,0,0,0,14,16,17,16,17,17,16,46,88,89,89,88,88,89,89,61,56,54,54,55,124,142,136,123,123,124,125,123,126,130,132,99,53,51,53,53,52,54,53,55,54,53,12,11,12,11,11,12,11,12,12,11,11,12,12,11,11,11,11,12,11,11,12,11,11,11,91
"West Natick",0,0,0,0,0,17,22,23,22,22,22,22,57,109,108,109,110,108,108,109,82,77,74,77,77,160,178,165,142,143,143,144,141,146,165,171,127,60,58,59,58,58,62,61,63,62,61,15,14,14,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,13,14,112
"Natick Center",0,0,0,0,0,20,24,25,24,24,24,24,59,112,111,112,112,109,110,111,96,93,90,93,94,186,206,188,159,161,161,160,158,161,197,206,151,66,64,66,65,65,66,66,68,67,66,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,132
"Wellesley Square",0,0,0,0,0,21,25,27,25,27,26,26,61,113,112,113,114,112,111,112,112,113,112,114,116,200,218,201,170,171,172,172,168,171,227,242,175,73,72,74,73,73,72,72,73,72,71,16,16,16,15,15,15,16,16,16,16,15,16,16,15,16,15,15,16,15,15,15,16,15,16,149
"Wellesley Hills",0,0,0,0,0,22,26,28,26,28,27,27,62,113,113,114,115,113,113,114,120,124,122,124,126,205,223,207,176,177,176,178,173,177,239,256,184,76,74,76,76,75,73,73,75,74,74,16,16,16,15,15,15,16,16,16,16,15,16,16,15,16,15,15,16,15,15,15,16,15,16,150
"Wellesley Farms",0,0,0,0,0,22,27,28,27,28,28,28,62,114,114,115,115,114,113,115,128,133,130,132,135,213,233,216,185,187,186,187,182,187,255,272,198,82,81,82,81,82,78,77,78,78,78,16,16,17,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,15,16,16,16,15,16,154
"Auburndale",0,0,0,0,0,23,28,29,28,29,29,29,63,114,115,116,116,115,113,115,133,141,138,140,143,218,236,221,189,191,190,190,187,191,261,277,203,88,87,87,87,87,78,78,78,78,78,17,16,17,16,16,16,16,16,17,16,17,17,16,16,16,16,16,16,16,16,16,17,16,16,154
"West Newton",0,0,0,0,0,23,28,29,28,29,29,29,63,115,115,116,117,115,114,115,139,147,145,145,149,223,239,225,192,195,193,195,191,195,267,285,211,95,94,95,93,94,78,78,79,79,79,17,17,18,17,17,17,17,17,18,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,158
"Newtonville",0,0,0,0,0,25,31,31,30,31,31,31,66,116,117,117,119,117,117,117,147,156,155,155,159,228,244,229,197,200,199,200,196,199,276,295,221,104,104,105,104,104,80,80,80,80,80,18,17,18,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,17,18,18,18,18,18,162
"Yawkey",0,0,0,0,0,25,31,31,30,31,31,31,66,116,117,117,119,117,117,117,147,156,155,155,159,228,244,229,197,200,199,200,196,199,276,295,221,104,104,105,104,104,80,80,80,80,80,18,17,18,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,17,18,18,18,18,18,162
"Back Bay",0,0,0,0,0,25,31,31,30,31,31,31,66,116,117,117,119,117,117,117,147,156,155,155,159,228,244,229,197,200,199,200,196,199,276,295,221,104,104,105,104,104,80,80,80,80,80,18,17,18,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,17,18,18,18,18,18,162
