"","x"
"X360",0
"X365",0
"X370",0
"X375",0
"X380",0
"X385",1
"X390",1
"X395",1
"X400",1
"X405",1
"X410",1
"X415",1
"X420",1
"X425",1
"X430",1
"X435",1
"X440",1
"X445",1
"X450",1
"X455",1
"X460",1
"X465",1
"X470",1
"X475",1
"X480",1
"X485",1
"X490",2
"X495",1
"X500",1
"X505",1
"X510",1
"X515",1
"X520",1
"X525",1
"X530",2
"X535",2
"X540",1
"X545",1
"X550",1
"X555",1
"X560",1
"X565",1
"X570",1
"X575",1
"X580",1
"X585",1
"X590",1
"X595",1
"X600",1
"X605",1
"X610",1
"X615",1
"X620",1
"X625",1
"X630",1
"X635",1
"X640",1
"X645",1
"X650",1
"X655",1
"X660",1
"X665",1
"X670",1
"X675",1
"X680",1
"X685",1
"X690",1
"X695",1
"X700",1
"X705",1
"X710",1
"X715",1
