"","X300","X315","X330","X345","X360","X375","X390","X405","X420","X428","X435","X442","X450","X458","X465","X472","X480","X488","X495","X502","X510","X518","X525","X532","X540","X548","X555","X562","X570","X585","X600","X615","X630","X645","X660","X675","X690","X705","X720","X735"
"Worcester Union",0,0,0,0,0,3,11,11,20,31,31,35,34,30,18,20,23,41,42,42,44,38,38,44,38,22,22,24,45,39,14,14,14,13,13,14,13,13,15,37
"Grafton",0,0,0,0,0,3,15,15,27,43,43,50,49,41,27,30,32,57,60,66,68,60,59,68,57,29,30,33,60,52,18,18,17,17,17,17,17,17,16,39
"Westborough",0,0,0,0,0,4,21,21,36,62,63,71,71,58,34,37,41,76,83,99,100,90,88,101,86,41,42,47,83,72,21,20,20,19,20,19,20,20,18,45
"Southborough",0,0,0,0,0,5,27,27,45,80,80,90,91,72,40,45,49,97,107,123,125,109,109,126,106,52,53,58,105,91,24,22,23,23,22,23,22,22,20,51
"Ashland",0,0,0,0,0,5,31,31,54,97,99,110,111,88,51,56,63,125,137,154,154,137,136,156,130,60,60,68,122,105,25,24,24,25,24,25,24,24,21,52
"Framingham",0,0,0,0,0,7,41,42,68,122,122,138,139,113,73,81,92,179,191,194,196,174,172,206,171,71,72,80,150,131,30,30,29,30,29,29,29,29,26,67
"West Natick",0,0,0,0,0,9,56,56,83,149,149,170,171,141,104,115,128,229,237,224,225,198,198,260,217,79,80,89,171,151,36,36,36,37,36,37,36,36,31,83
"Natick Center",0,0,0,0,0,10,63,62,86,153,153,172,173,150,126,143,154,264,273,251,251,221,221,311,262,89,89,100,185,162,40,39,40,40,39,39,39,39,36,98
"Wellesley Square",0,0,0,0,0,11,69,67,88,154,155,175,175,160,155,176,184,282,289,268,266,236,237,363,308,101,99,113,202,175,41,41,41,42,41,41,41,41,40,111
"Wellesley Hills",0,0,0,0,0,11,71,71,90,156,156,177,177,165,167,190,197,292,297,278,275,246,244,380,325,104,103,117,207,180,42,41,41,42,41,41,41,41,40,112
"Wellesley Farms",0,0,0,0,0,11,73,72,91,157,157,177,178,168,180,204,212,306,310,294,291,258,258,405,347,113,112,127,221,189,43,43,43,43,43,42,42,42,41,115
"Auburndale",0,0,0,0,0,12,76,75,93,158,158,180,180,172,190,217,224,311,316,300,297,263,263,413,355,121,119,136,223,190,43,43,43,43,43,43,43,43,41,115
"West Newton",0,0,0,0,0,12,77,76,93,158,158,180,180,174,200,228,235,315,320,305,302,269,268,423,366,130,130,146,230,192,46,45,45,45,45,45,45,45,42,117
"Newtonville",0,0,0,0,0,12,82,82,96,160,162,184,183,180,212,242,248,324,326,313,310,274,274,436,381,142,142,162,237,195,48,49,47,47,48,48,48,47,43,119
"Yawkey",0,0,0,0,0,12,82,82,96,160,162,184,183,180,212,242,248,324,326,313,310,274,274,436,381,142,142,162,237,195,48,49,47,47,48,48,48,47,43,119
"Back Bay",0,0,0,0,0,12,82,82,96,160,162,184,183,180,212,242,248,324,326,313,310,274,274,436,381,142,142,162,237,195,48,49,47,47,48,48,48,47,43,119
