"","X300","X315","X330","X345","X360","X375","X390","X405","X420","X428","X435","X442","X450","X458","X465","X472","X480","X488","X495","X502","X510","X518","X525","X532","X540","X548","X555","X562","X570","X585","X600","X615","X630","X645","X660","X675","X690","X705","X720","X735"
"Worcester Union",0,0,0,0,0,3,11,11,48,0,61,0,60,0,34,0,61,0,82,0,75,0,75,0,58,0,45,0,45,39,14,14,13,14,14,14,13,14,15,37
"Grafton",0,0,0,0,0,3,15,15,66,0,87,0,85,0,51,0,84,0,123,0,119,0,120,0,84,0,60,0,59,54,18,17,17,18,17,18,18,18,16,39
"Westborough",0,0,0,0,0,4,21,21,92,0,127,0,120,0,66,0,112,0,178,0,179,0,183,0,123,0,84,0,83,73,20,19,19,20,20,20,20,20,18,45
"Southborough",0,0,0,0,0,5,27,28,117,0,162,0,153,0,79,0,143,0,223,0,224,0,228,0,151,0,105,0,106,92,23,23,22,23,22,23,23,23,20,50
"Ashland",0,0,0,0,0,6,31,32,142,0,200,0,188,0,101,0,182,0,281,0,277,0,284,0,184,0,121,0,122,106,25,25,24,24,24,24,25,24,20,52
"Framingham",0,0,0,0,0,7,40,42,155,29,224,32,216,29,125,31,209,62,335,47,318,42,319,55,224,15,132,16,150,131,29,29,29,29,30,29,30,30,25,65
"West Natick",0,0,0,0,0,9,56,58,170,59,252,66,250,58,155,66,247,112,381,80,348,67,344,113,270,23,140,26,172,151,36,36,36,36,37,36,37,35,31,81
"Natick Center",0,0,0,0,0,10,62,64,174,62,254,68,253,66,179,94,274,149,416,107,375,91,369,165,313,33,148,37,186,163,40,38,39,39,40,39,40,39,36,96
"Wellesley Square",0,0,0,0,0,11,67,69,177,64,256,71,256,78,208,127,306,166,433,125,392,107,384,215,359,44,158,50,201,176,41,41,41,40,42,41,42,41,40,109
"Wellesley Hills",0,0,0,0,0,11,69,72,178,65,258,72,258,81,220,143,318,175,440,133,401,116,392,235,377,47,162,54,207,181,41,41,41,40,42,41,42,41,41,110
"Wellesley Farms",0,0,0,0,0,11,72,75,179,67,259,73,259,85,233,157,334,187,453,148,416,129,405,261,398,57,171,65,220,190,43,42,42,42,44,42,43,42,41,113
"Auburndale",0,0,0,0,0,12,75,77,179,68,260,75,260,89,242,169,343,195,459,156,423,135,410,268,406,64,179,73,222,190,43,42,43,43,45,44,44,42,42,114
"West Newton",0,0,0,0,0,12,76,78,180,68,260,75,261,92,251,180,355,199,464,162,428,139,414,278,418,75,188,85,229,192,44,44,45,45,46,45,46,45,43,116
"Newtonville",0,0,0,0,0,13,81,83,184,71,263,78,264,97,264,195,369,206,470,170,435,145,422,293,433,88,201,100,236,195,47,46,47,47,48,47,49,47,43,118
"Yawkey",0,0,0,0,0,13,81,83,184,71,263,78,264,97,264,195,369,206,470,170,435,145,422,293,433,88,201,100,236,195,47,46,47,47,48,47,49,47,43,118
"Back Bay",0,0,0,0,0,13,81,83,184,71,263,78,264,97,264,195,369,206,470,170,435,145,422,293,433,88,201,100,236,195,47,46,47,47,48,47,49,47,43,118
