"","X300","X315","X330","X345","X360","X375","X390","X405","X420","X428","X435","X442","X450","X458","X465","X472","X480","X488","X495","X502","X510","X518","X525","X532","X540","X548","X555","X562","X570","X585","X600","X615","X630","X645","X660","X675","X690","X705","X720","X735"
"Worcester Union",0,0,0,0,0,2,11,28,0,58,0,65,0,43,0,38,0,77,0,80,0,72,0,76,0,41,0,25,45,40,13,14,13,14,13,13,14,14,14,37
"Grafton",0,0,0,0,0,3,15,38,0,83,0,92,0,62,0,55,0,109,0,127,0,114,0,119,0,55,0,34,60,54,17,17,17,17,17,17,18,18,15,39
"Westborough",0,0,0,0,0,4,21,53,0,119,0,134,0,86,0,73,0,150,0,191,0,171,0,178,0,78,0,46,83,74,19,20,19,19,19,19,20,20,17,45
"Southborough",0,0,0,0,0,5,27,67,0,153,0,171,0,107,0,89,0,195,0,240,0,212,0,222,0,99,0,58,105,92,22,23,22,23,22,22,23,23,19,50
"Ashland",0,0,0,0,0,5,31,80,0,187,0,210,0,134,0,110,0,251,0,299,0,262,0,274,0,113,0,67,120,106,23,24,24,25,24,24,25,24,20,51
"Framingham",0,0,0,0,0,7,41,89,18,211,28,237,32,156,28,137,35,305,62,340,48,298,43,323,49,124,14,81,150,130,29,29,30,30,29,30,30,29,25,66
"West Natick",0,0,0,0,0,9,57,104,36,240,58,269,65,185,59,171,68,357,109,370,77,323,69,380,101,133,23,90,171,150,36,36,36,36,36,36,37,36,31,82
"Natick Center",0,0,0,0,0,10,63,110,40,242,61,273,68,196,82,197,98,392,144,397,103,345,94,431,146,142,33,101,185,162,38,39,39,40,40,40,40,39,36,96
"Wellesley Square",0,0,0,0,0,10,68,114,43,245,63,275,70,202,112,231,131,411,158,414,121,361,110,478,188,150,44,114,201,176,40,41,41,42,41,41,42,41,40,110
"Wellesley Hills",0,0,0,0,0,11,71,118,44,246,64,277,72,206,124,246,145,419,167,423,131,369,118,499,206,154,48,117,207,180,40,41,41,42,41,41,42,41,41,111
"Wellesley Farms",0,0,0,0,0,11,74,120,46,247,66,277,73,210,137,260,160,432,180,439,146,383,133,523,225,164,57,127,219,190,41,42,42,43,42,43,43,42,42,114
"Auburndale",0,0,0,0,0,11,76,122,47,247,67,279,74,214,148,272,172,438,187,445,153,389,138,530,233,172,64,136,224,191,42,42,43,44,43,44,43,43,42,115
"West Newton",0,0,0,0,0,11,77,122,47,248,67,280,74,216,158,282,182,443,191,452,158,394,142,539,243,181,75,147,228,193,44,44,44,46,45,45,46,45,43,117
"Newtonville",0,0,0,0,0,12,83,128,50,250,69,284,78,221,171,296,197,451,197,459,167,400,150,554,257,194,88,162,235,196,47,47,47,49,47,48,48,47,44,118
"Yawkey",0,0,0,0,0,12,83,128,50,250,69,284,78,221,171,296,197,451,197,459,167,400,150,554,257,194,88,162,235,196,47,47,47,49,47,48,48,47,44,118
"Back Bay",0,0,0,0,0,12,83,128,50,250,69,284,78,221,171,296,197,451,197,459,167,400,150,554,257,194,88,162,235,196,47,47,47,49,47,48,48,47,44,118
