"","X360","X368","X376","X384","X392","X400","X408","X416","X424","X432","X440","X448","X456","X464","X472","X480","X488","X496","X504","X512","X520","X528","X536","X544","X552","X560","X568","X576","X584","X592","X600","X608","X616","X624","X632","X640","X648","X656","X664","X672","X680","X688","X696","X704","X712"
"Worcester Union",0,0,0,6,7,7,7,11,35,35,35,36,30,19,20,28,49,44,42,44,43,43,41,26,25,26,25,25,25,16,9,8,8,8,8,8,8,8,8,8,8,8,8,8,51
"Grafton",0,0,0,7,9,10,10,15,49,49,48,50,42,29,30,41,69,68,66,68,67,68,63,34,33,35,34,34,34,20,11,10,11,10,10,10,10,10,10,10,10,11,10,10,56
"Westborough",0,0,0,9,12,13,13,20,72,71,70,71,59,36,37,53,91,97,100,100,101,101,92,46,46,48,46,47,47,26,12,11,12,11,11,11,11,11,12,12,11,12,12,11,65
"Southborough",0,0,0,12,17,17,17,25,90,89,90,91,73,44,44,66,119,122,125,123,125,125,116,59,58,59,58,58,59,31,14,13,14,13,13,13,13,13,13,13,13,14,13,13,73
"Ashland",0,0,0,14,20,19,19,30,112,109,111,110,90,55,56,82,153,154,154,154,156,155,143,66,67,67,68,66,67,35,15,13,15,14,14,14,14,13,15,15,14,14,14,14,75
"Framingham",0,0,0,19,25,25,24,38,138,138,137,137,118,82,83,121,219,201,197,194,196,203,189,80,79,79,82,83,83,43,18,17,17,17,17,17,17,17,17,18,17,18,17,16,95
"West Natick",0,0,0,25,33,33,33,50,171,169,168,170,149,117,117,161,280,238,226,223,226,251,245,89,88,89,95,96,95,51,21,20,21,21,21,21,21,21,21,22,20,21,20,20,118
"Natick Center",0,0,0,27,37,36,36,53,175,172,172,173,162,142,143,191,324,270,252,249,251,300,296,99,99,100,102,103,101,55,23,22,23,22,23,23,22,22,23,23,22,23,22,21,138
"Wellesley Square",0,0,0,29,40,39,38,56,177,175,175,175,176,176,177,220,340,287,268,268,268,340,344,111,111,113,111,112,110,59,24,23,24,23,24,24,23,23,24,24,23,24,23,23,154
"Wellesley Hills",0,0,0,31,41,40,40,58,178,177,176,177,183,191,190,233,350,297,277,277,277,359,363,115,116,117,115,115,113,60,24,23,24,23,24,24,23,23,24,24,24,24,23,23,156
"Wellesley Farms",0,0,0,32,42,42,41,60,179,178,177,177,189,204,204,247,364,312,294,291,291,382,390,127,127,127,122,122,120,63,25,24,25,24,25,24,24,24,24,25,24,25,24,23,160
"Auburndale",0,0,0,33,43,44,43,61,180,180,179,179,195,216,217,258,371,318,301,299,298,390,398,134,136,135,125,122,120,64,25,24,25,24,25,25,24,25,24,25,24,25,25,23,162
"West Newton",0,0,0,33,43,44,43,61,181,180,179,179,199,228,228,268,376,323,306,305,303,398,409,146,146,148,128,123,121,65,26,25,26,25,26,26,25,26,25,27,25,27,26,25,165
"Newtonville",0,0,0,36,47,47,46,65,183,182,182,182,207,242,242,282,384,332,313,312,312,411,425,160,161,162,133,125,122,67,27,27,27,26,27,27,27,27,27,28,26,28,27,27,169
"Yawkey",0,0,0,36,47,47,46,65,183,182,182,182,207,242,242,282,384,332,313,312,312,411,425,160,161,162,133,125,122,67,27,27,27,26,27,27,27,27,27,28,26,28,27,27,169
"Back Bay",0,0,0,36,47,47,46,65,183,182,182,182,207,242,242,282,384,332,313,312,312,411,425,160,161,162,133,125,122,67,27,27,27,26,27,27,27,27,27,28,26,28,27,27,169
