"","X300","X303","X315","X330","X333","X345","X360","X363","X375","X390","X393","X405","X420","X423","X435","X450","X453","X465","X480","X483","X495","X510","X513","X525","X540","X543","X555","X570","X573","X585","X600","X603","X615","X630","X633","X645","X660","X663","X675","X690","X693","X705"
"Worcester Union",0,0,0,0,0,0,0,3,0,11,0,13,0,99,0,59,0,40,0,127,0,76,0,89,0,83,0,45,0,41,0,22,0,13,0,16,0,23,0,14,0,58
"Grafton",0,0,0,0,0,0,0,3,0,15,0,18,0,140,0,84,0,59,0,189,0,121,0,141,0,114,0,59,0,55,0,28,0,17,0,20,0,30,0,17,0,64
"Westborough",0,0,0,0,0,0,0,4,0,20,0,25,0,204,0,122,0,77,0,263,0,182,0,216,0,162,0,82,0,76,0,33,0,19,0,23,0,33,0,19,0,74
"Southborough",0,0,0,0,0,0,0,4,0,27,0,33,0,262,0,154,0,93,0,336,0,227,0,268,0,206,0,105,0,96,0,38,0,23,0,27,0,38,0,23,0,84
"Ashland",0,0,0,0,0,0,0,5,0,32,0,38,0,323,0,189,0,117,0,430,0,281,0,334,0,241,0,123,0,108,0,41,0,24,0,29,0,41,0,24,0,88
"Framingham",0,0,0,0,0,0,0,5,3,34,10,47,3,358,57,200,46,166,13,504,103,296,67,420,24,272,27,127,26,134,2,45,7,25,6,34,2,46,7,25,7,112
"West Natick",0,0,0,0,0,0,0,5,5,37,23,62,7,398,118,211,94,229,27,578,183,308,111,499,49,303,44,131,46,156,4,50,14,27,11,41,4,51,14,26,13,139
"Natick Center",0,0,0,0,0,0,0,0,8,0,35,0,14,0,125,0,155,0,93,0,254,0,227,0,105,0,67,0,67,0,8,0,18,0,18,0,8,0,19,0,38,0
"Wellesley Square",0,0,0,0,0,0,0,0,10,0,44,0,19,0,130,0,227,0,144,0,292,0,318,0,161,0,93,0,92,0,10,0,21,0,21,0,10,0,21,0,57,0
"Wellesley Hills",0,0,0,0,0,0,0,0,11,0,50,0,22,0,134,0,261,0,167,0,313,0,359,0,179,0,102,0,101,0,10,0,21,0,21,0,10,0,21,0,58,0
"Wellesley Farms",0,0,0,0,0,0,0,0,12,0,54,0,25,0,136,0,292,0,194,0,344,0,419,0,210,0,126,0,121,0,11,0,22,0,23,0,11,0,23,0,64,0
"Auburndale",0,0,0,0,0,0,0,0,13,0,59,0,28,0,139,0,318,0,212,0,358,0,442,0,226,0,144,0,122,0,12,0,23,0,25,0,12,0,23,0,66,0
"West Newton",0,0,0,0,0,0,0,0,13,0,59,0,29,0,140,0,341,0,228,0,370,0,465,0,246,0,170,0,126,0,14,0,26,0,29,0,14,0,26,0,72,0
"Newtonville",0,0,0,0,0,0,0,0,15,0,71,0,35,0,147,0,374,0,249,0,388,0,497,0,272,0,202,0,131,0,17,0,29,0,33,0,17,0,28,0,79,0
"Yawkey",0,0,0,0,0,0,0,5,15,37,71,62,35,398,147,211,374,229,249,578,388,308,497,499,272,303,202,131,131,156,17,50,29,27,33,41,17,51,28,26,79,139
"Back Bay",0,0,0,0,0,0,0,5,15,37,71,62,35,398,147,211,374,229,249,578,388,308,497,499,272,303,202,131,131,156,17,50,29,27,33,41,17,51,28,26,79,139
