"","x"
"X300",0
"X303",0
"X315",0
"X318",0
"X330",0
"X333",0
"X345",0
"X348",0
"X360",0
"X363",0
"X375",1
"X378",1
"X390",1
"X393",1
"X405",1
"X408",1
"X420",1
"X423",2
"X435",1
"X438",2
"X450",1
"X453",2
"X465",2
"X468",1
"X480",2
"X483",2
"X495",1
"X498",2
"X510",1
"X513",2
"X525",2
"X528",2
"X540",2
"X543",1
"X555",1
"X558",1
"X570",1
"X573",1
"X585",1
"X588",1
"X600",1
"X603",1
"X615",1
"X618",1
"X630",1
"X633",1
"X645",1
"X648",1
"X660",1
"X663",1
"X675",1
"X678",1
"X690",1
"X693",1
"X705",1
"X708",1
