"","X300","X315","X330","X345","X360","X375","X390","X405","X420","X423","X435","X438","X450","X453","X465","X468","X480","X483","X495","X498","X510","X513","X525","X528","X540","X543","X555","X558","X570","X585","X600","X615","X630","X645","X660","X675","X690","X705"
"Worcester Union",0,0,0,0,0,12,0,13,0,55,0,61,0,55,0,34,0,71,0,79,0,76,0,76,0,52,0,74,0,50,0,24,0,25,0,25,0,58
"Grafton",0,0,0,0,0,16,0,18,0,80,0,88,0,80,0,50,0,97,0,123,0,120,0,121,0,72,0,101,0,67,0,31,0,32,0,33,0,65
"Westborough",0,0,0,0,0,23,0,25,0,113,0,126,0,111,0,65,0,130,0,181,0,181,0,180,0,104,0,141,0,89,0,35,0,35,0,37,0,75
"Southborough",0,0,0,0,0,30,0,33,0,145,0,161,0,139,0,79,0,169,0,226,0,226,0,224,0,130,0,181,0,110,0,41,0,41,0,43,0,85
"Ashland",0,0,0,0,0,35,0,38,0,177,0,197,0,172,0,99,0,218,0,280,0,281,0,280,0,154,0,209,0,125,0,45,0,45,0,46,0,88
"Framingham",0,0,0,0,0,36,12,48,3,209,14,239,14,212,14,139,14,289,30,353,20,342,19,350,23,187,8,228,32,151,7,50,8,50,8,51,7,112
"West Natick",0,0,0,0,0,37,28,63,7,250,27,286,27,258,28,189,27,363,54,407,31,384,31,419,49,220,11,241,55,171,15,56,15,56,15,58,15,140
"Natick Center",0,0,0,0,2,0,40,0,14,0,33,0,40,0,78,0,94,0,118,0,81,0,110,0,106,0,31,0,80,0,21,0,22,0,21,0,41,0
"Wellesley Square",0,0,0,0,3,0,50,0,20,0,37,0,53,0,141,0,145,0,151,0,114,0,176,0,161,0,55,0,109,0,25,0,26,0,25,0,60,0
"Wellesley Hills",0,0,0,0,3,0,55,0,23,0,41,0,58,0,169,0,168,0,169,0,131,0,204,0,181,0,62,0,120,0,25,0,26,0,25,0,62,0
"Wellesley Farms",0,0,0,0,3,0,60,0,25,0,44,0,64,0,196,0,196,0,197,0,161,0,242,0,213,0,82,0,142,0,28,0,28,0,27,0,68,0
"Auburndale",0,0,0,0,4,0,64,0,28,0,46,0,69,0,217,0,213,0,210,0,174,0,254,0,229,0,98,0,147,0,29,0,30,0,29,0,70,0
"West Newton",0,0,0,0,4,0,66,0,28,0,47,0,72,0,236,0,229,0,220,0,183,0,268,0,251,0,120,0,156,0,32,0,33,0,33,0,76,0
"Newtonville",0,0,0,0,5,0,77,0,35,0,53,0,81,0,263,0,251,0,235,0,197,0,291,0,278,0,147,0,164,0,38,0,38,0,37,0,84,0
"Yawkey",0,0,0,0,5,37,77,63,35,250,53,286,81,258,263,189,251,363,235,407,197,384,291,419,278,220,147,241,164,171,38,56,38,56,37,58,84,140
"Back Bay",0,0,0,0,5,37,77,63,35,250,53,286,81,258,263,189,251,363,235,407,197,384,291,419,278,220,147,241,164,171,38,56,38,56,37,58,84,140
