km,departing station,P500,P502,P582,P504,P584,P506,P586,P508,P588,P510,P552,P590,P512,P514,P516
71.3,Worcester Union,23,68,,108,,118,,203,,56,262,,74,54,39
58.7,Grafton,11,28,,94,,94,,139,,89,,,24,9,7
51.5,Westborough,8,32,,81,,136,,266,,133,,,29,6,9
44.2,Southborough,12,34,,66,,107,,169,,44,,,22,7,5
39.0,Ashland,10,76,,110,,109,,242,,196,,93,27,8,5
34.3,Framingham,15,24,17,77,32,73,76,176,127,92,,62,34,15,22
32.1,West Natick,33,68,12,135,19,88,35,189,61,93,,58,29,11,10
28.5,Natick Center,8,36,16,,82,,146,,143,71,,43,23,8,6
23.8,Wellesley Square,9,,30,,68,,101,,92,54,,66,25,15,11
21.8,Wellesley Hills,11,,23,,37,,57,,56,24,,26,14,16,3
20.3,Wellesley Farms,-4,,27,,74,,58,,59,19,,14,8,1,1
16.9,Auburndale,2,,8,,47,,40,,63,,,8,11,2,2
15.2,West Newton,1,,8,,43,,68,,79,,,25,3,4,1
13.3,Newtonville,12,,22,,59,,114,,128,,,23,20,0,7
7.5,Boston Landing,,,23,,46,,70,,110,49,,28,6,,
6.2,West Station,,,,,,,,,,,,,,,
4.0,Yawkey,-15,-48,-21,-90,-70,-72,-91,-121,-80,-65,-33,-46,-93,-18,-22
2.1,Back Bay,-99,-118,-83,-183,-180,-221,-219,-463,-297,-224,-80,-154,-113,-49,-43
0,South Station,,,,,,,,,,,,,,,
