"","X300","X310","X320","X330","X340","X350","X360","X370","X380","X390","X400","X410","X420","X428","X440","X448","X460","X468","X480","X488","X500","X508","X520","X528","X540","X548","X560","X575","X590","X605","X620","X635","X650","X665","X680","X695","X710","X725","X740","X755","X770","X785","X800","X815","X830","X845","X860","X875"
"Worcester Union",0,0,0,0,0,0,0,22,0,44,0,42,0,68,0,72,0,76,0,106,0,127,0,105,0,101,0,111,0,77,0,27,0,27,0,28,0,22,0,22,0,23,0,24,0,22,0,0
"Grafton",0,0,0,0,0,0,0,32,0,60,0,60,0,125,0,128,0,132,0,176,0,208,0,144,0,130,0,142,0,97,0,35,0,35,0,35,0,25,0,26,0,26,0,28,0,26,0,0
"Westborough",0,0,0,0,0,0,0,39,0,79,0,78,0,173,0,185,0,213,0,297,0,365,0,206,0,171,0,189,0,126,0,44,0,44,0,44,0,27,0,29,0,28,0,33,0,30,0,0
"Southborough",0,0,0,0,0,0,0,49,0,98,0,97,0,211,0,231,0,277,0,382,0,464,0,239,0,185,0,205,0,138,0,50,0,51,0,51,0,30,0,31,0,31,0,35,0,32,0,0
"Ashland",0,0,0,0,0,0,0,58,0,139,0,138,0,274,0,297,0,340,0,486,0,604,0,343,0,308,0,274,0,178,0,59,0,59,0,58,0,32,0,33,0,34,0,37,0,34,0,0
"Framingham",0,0,0,0,0,0,0,62,11,149,13,151,17,314,32,331,28,376,36,574,68,694,97,420,21,334,37,297,24,199,11,64,8,65,8,64,8,35,4,36,4,36,5,44,8,40,7,0
"West Natick",0,0,0,0,0,0,0,72,33,176,46,172,34,385,83,360,55,419,64,631,135,791,147,460,40,362,72,318,46,219,17,69,12,70,13,68,12,37,7,38,7,37,7,46,11,43,10,0
"Natick Center",0,0,0,0,0,0,0,74,38,191,63,184,42,0,110,0,101,0,137,0,223,0,314,0,75,0,97,333,61,233,22,73,16,72,17,71,16,38,8,39,8,38,9,48,13,45,11,0
"Wellesley Square",0,0,0,0,0,0,0,75,40,193,66,189,60,0,138,0,139,0,190,0,285,0,423,0,101,0,117,357,85,257,30,76,21,76,21,75,20,41,11,42,11,41,12,51,16,48,14,0
"Wellesley Hills",0,0,0,0,0,0,0,76,42,197,69,194,73,0,154,0,161,0,220,0,320,0,483,0,113,0,124,365,94,266,33,78,23,79,24,78,22,44,14,45,14,44,15,51,17,48,15,0
"Wellesley Farms",0,0,0,0,0,0,0,76,42,197,69,197,88,0,183,0,200,0,259,0,356,0,548,0,121,0,131,369,99,270,35,80,24,80,25,80,23,44,14,45,14,44,15,52,17,48,15,0
"Auburndale",0,0,0,0,0,0,0,77,43,197,69,199,93,0,197,0,226,0,284,0,379,0,570,0,144,0,150,373,102,273,36,81,26,81,26,81,25,45,15,45,14,45,16,52,17,49,15,0
"West Newton",0,0,0,0,0,0,0,77,43,197,70,200,98,0,210,0,249,0,317,0,419,0,600,0,173,0,171,383,111,281,37,82,26,82,27,81,25,45,16,46,15,46,16,52,17,49,15,0
"Newtonville",0,0,0,0,0,0,0,78,46,199,73,205,109,0,232,0,282,0,371,0,485,0,649,0,222,0,206,393,120,289,41,84,29,84,30,84,28,45,16,46,15,46,16,55,19,51,17,0
"Boston Landing",0,0,0,0,0,0,0,78,46,199,73,207,116,393,237,375,292,433,384,655,502,819,718,515,232,375,225,402,129,298,43,86,31,87,30,84,28,45,16,46,15,46,16,55,19,51,17,0
"Yawkey",0,0,0,0,0,0,0,78,46,199,73,207,116,393,237,375,292,433,384,655,502,819,718,515,232,375,225,402,129,298,43,86,31,87,30,84,28,45,16,46,15,46,16,55,19,51,17,0
"Back Bay",0,0,0,0,0,0,0,78,46,199,73,207,116,393,237,375,292,433,384,655,502,819,718,515,232,375,225,402,129,298,43,86,31,87,30,84,28,45,16,46,15,46,16,55,19,51,17,0
