"","X300","X310","X320","X330","X340","X350","X360","X370","X380","X390","X400","X410","X420","X428","X440","X448","X460","X468","X480","X488","X500","X508","X520","X528","X540","X548","X560","X575","X590","X605","X620","X635","X650","X665","X680","X695","X710","X725","X740","X755","X770","X785","X800","X815","X830","X845","X860","X875"
"Worcester Union",0,0,0,0,0,0,0,23,0,43,0,43,0,69,0,72,0,75,0,105,0,126,0,107,0,103,0,112,0,76,0,27,0,26,0,27,0,22,0,23,0,23,0,24,0,22,0,0
"Grafton",0,0,0,0,0,0,0,32,0,60,0,59,0,124,0,129,0,130,0,176,0,209,0,142,0,130,0,145,0,96,0,35,0,34,0,34,0,25,0,26,0,26,0,28,0,25,0,0
"Westborough",0,0,0,0,0,0,0,39,0,78,0,78,0,171,0,188,0,211,0,297,0,365,0,208,0,172,0,192,0,126,0,43,0,44,0,44,0,27,0,28,0,28,0,33,0,30,0,0
"Southborough",0,0,0,0,0,0,0,49,0,97,0,98,0,209,0,233,0,273,0,379,0,465,0,241,0,186,0,206,0,139,0,51,0,51,0,50,0,30,0,30,0,31,0,35,0,32,0,0
"Ashland",0,0,0,0,0,0,0,58,0,141,0,138,0,274,0,296,0,336,0,486,0,606,0,339,0,308,0,275,0,176,0,60,0,59,0,59,0,33,0,33,0,33,0,37,0,34,0,0
"Framingham",0,0,0,0,0,0,0,62,11,151,13,150,17,314,32,330,29,372,36,574,67,695,96,417,22,334,37,299,25,198,10,65,8,64,7,64,7,35,4,35,4,36,5,44,8,40,7,0
"West Natick",0,0,0,0,0,0,0,73,32,179,46,172,36,384,83,362,55,415,66,628,135,792,146,456,41,362,72,319,47,216,17,70,13,68,13,68,12,37,7,37,7,38,7,46,11,43,10,0
"Natick Center",0,0,0,0,0,0,0,76,37,193,62,183,45,0,109,0,101,0,140,0,224,0,309,0,75,0,97,334,63,230,22,73,16,71,17,72,16,39,8,38,8,39,9,48,13,44,11,0
"Wellesley Square",0,0,0,0,0,0,0,77,39,194,65,188,61,0,138,0,138,0,192,0,286,0,417,0,99,0,117,355,86,254,29,77,21,75,21,75,20,41,11,41,12,43,11,51,16,47,14,0
"Wellesley Hills",0,0,0,0,0,0,0,78,42,198,68,192,76,0,155,0,158,0,220,0,319,0,481,0,111,0,125,364,95,263,32,79,23,77,23,77,22,44,14,44,15,45,14,51,17,47,15,0
"Wellesley Farms",0,0,0,0,0,0,0,78,42,198,68,196,92,0,183,0,200,0,257,0,355,0,544,0,119,0,132,370,99,268,34,80,24,79,24,78,23,44,14,44,15,45,14,52,17,48,15,0
"Auburndale",0,0,0,0,0,0,0,78,42,199,68,197,96,0,199,0,225,0,282,0,379,0,567,0,143,0,150,373,103,270,36,81,25,80,26,80,25,44,14,44,15,45,15,52,18,48,15,0
"West Newton",0,0,0,0,0,0,0,78,43,199,69,198,101,0,213,0,250,0,316,0,418,0,597,0,174,0,173,383,112,278,37,82,26,80,26,81,25,45,15,45,16,46,15,52,18,48,15,0
"Newtonville",0,0,0,0,0,0,0,79,47,202,72,204,113,0,235,0,282,0,372,0,488,0,646,0,222,0,207,393,119,285,41,85,30,83,29,84,28,45,15,45,16,46,16,54,19,51,17,0
"Boston Landing",0,0,0,0,0,0,0,79,47,202,72,206,119,393,240,373,291,429,382,653,505,820,717,515,231,374,224,406,129,295,44,87,31,85,29,84,28,45,15,45,16,46,16,54,19,51,17,0
"Yawkey",0,0,0,0,0,0,0,79,47,202,72,206,119,393,240,373,291,429,382,653,505,820,717,515,231,374,224,406,129,295,44,87,31,85,29,84,28,45,15,45,16,46,16,54,19,51,17,0
"Back Bay",0,0,0,0,0,0,0,79,47,202,72,206,119,393,240,373,291,429,382,653,505,820,717,515,231,374,224,406,129,295,44,87,31,85,29,84,28,45,15,45,16,46,16,54,19,51,17,0
