"","X300","X308","X315","X323","X330","X338","X345","X353","X360","X368","X375","X383","X390","X398","X405","X413","X420","X425","X435","X440","X450","X455","X465","X470","X480","X485","X495","X500","X510","X515","X525","X530","X540","X545","X555","X560","X570","X585","X600","X615","X630","X645","X660","X675","X690","X705","X720","X735","X750","X765","X780","X795","X810","X825","X840","X855","X870","X885"
"Worcester Union",0,0,0,0,0,0,0,0,0,14,0,28,0,34,0,28,0,50,0,54,0,57,0,58,0,66,0,97,0,98,0,83,0,60,0,96,0,113,0,48,0,27,0,27,0,25,0,22,0,22,0,24,0,24,0,15,0,0
"Grafton",0,0,0,0,0,0,0,0,0,20,0,40,0,47,0,39,0,91,0,95,0,99,0,101,0,115,0,159,0,159,0,106,0,76,0,123,0,146,0,61,0,34,0,34,0,31,0,25,0,26,0,28,0,27,0,18,0,0
"Westborough",0,0,0,0,0,0,0,0,0,23,0,51,0,62,0,51,0,124,0,131,0,148,0,162,0,187,0,279,0,280,0,154,0,99,0,162,0,191,0,79,0,44,0,44,0,38,0,27,0,28,0,31,0,32,0,20,0,0
"Southborough",0,0,0,0,0,0,0,0,0,29,0,62,0,78,0,63,0,152,0,161,0,187,0,209,0,236,0,351,0,355,0,175,0,107,0,174,0,206,0,86,0,52,0,51,0,43,0,30,0,30,0,33,0,34,0,22,0,0
"Ashland",0,0,0,0,0,0,0,0,0,34,0,80,0,112,0,89,0,200,0,212,0,236,0,258,0,295,0,460,0,461,0,247,0,177,0,270,0,267,0,107,0,60,0,59,0,50,0,32,0,33,0,35,0,38,0,23,0,0
"Framingham",0,0,0,0,0,0,0,0,0,34,9,87,10,120,12,99,10,228,22,245,18,263,19,287,19,365,45,536,44,555,65,295,14,197,14,292,32,289,25,121,8,65,8,65,8,55,5,35,4,36,4,39,7,44,8,29,2,0
"West Natick",0,0,0,0,0,0,0,0,0,35,26,101,35,141,38,111,16,277,54,305,33,285,39,322,38,399,79,618,86,626,94,324,26,220,26,312,59,310,46,132,13,69,12,70,13,60,8,37,7,37,6,40,10,46,11,32,3,0
"Natick Center",0,0,0,0,0,0,0,0,0,35,29,104,46,152,52,118,23,0,62,0,67,0,74,0,93,0,145,0,193,0,220,0,53,0,52,0,79,324,62,141,17,72,16,74,17,63,10,38,8,38,8,41,12,48,13,34,3,0
"Wellesley Square",0,0,0,0,0,0,0,0,0,35,30,106,47,153,53,122,37,0,76,0,98,0,102,0,131,0,193,0,259,0,295,0,73,0,72,0,100,347,86,154,21,76,21,77,22,67,14,41,11,41,11,44,14,50,16,37,4,0
"Wellesley Hills",0,0,0,0,0,0,0,0,0,35,32,107,49,155,56,126,48,0,86,0,112,0,117,0,150,0,218,0,297,0,338,0,80,0,80,0,109,355,94,160,23,78,23,79,24,69,16,44,14,44,14,47,16,51,17,37,4,0
"Wellesley Farms",0,0,0,0,0,0,0,0,0,35,32,107,49,155,56,131,59,0,99,0,140,0,148,0,178,0,244,0,337,0,382,0,88,0,87,0,115,359,99,162,25,79,25,80,25,70,17,44,14,44,14,47,16,51,17,37,4,0
"Auburndale",0,0,0,0,0,0,0,0,0,35,33,108,50,155,57,132,63,0,102,0,160,0,168,0,198,0,261,0,355,0,399,0,106,0,105,0,124,363,102,164,26,81,26,82,27,72,17,44,14,44,15,48,16,52,17,38,4,0
"West Newton",0,0,0,0,0,0,0,0,0,35,33,108,50,155,57,132,67,0,106,0,177,0,185,0,223,0,292,0,382,0,421,0,128,0,128,0,137,370,110,168,26,81,27,83,28,72,18,45,15,45,15,48,17,52,17,38,4,0
"Newtonville",0,0,0,0,0,0,0,0,0,35,35,110,54,157,59,137,76,0,116,0,199,0,210,0,261,0,345,0,429,0,458,0,164,0,164,0,158,378,117,174,29,85,30,85,30,76,19,45,15,45,15,48,18,54,19,40,5,0
"Boston Landing",0,0,0,0,0,0,0,0,0,35,35,110,54,157,59,140,79,284,119,311,205,297,217,335,266,416,356,637,439,679,507,365,171,231,169,324,172,387,127,179,31,86,32,86,30,76,19,45,15,45,15,48,18,54,19,40,5,0
"Yawkey",0,0,0,0,0,0,0,0,0,35,35,110,54,157,59,140,79,284,119,311,205,297,217,335,266,416,356,637,439,679,507,365,171,231,169,324,172,387,127,179,31,86,32,86,30,76,19,45,15,45,15,48,18,54,19,40,5,0
"Back Bay",0,0,0,0,0,0,0,0,0,35,35,110,54,157,59,140,79,284,119,311,205,297,217,335,266,416,356,637,439,679,507,365,171,231,169,324,172,387,127,179,31,86,32,86,30,76,19,45,15,45,15,48,18,54,19,40,5,0
