"","X300","X308","X315","X323","X330","X338","X345","X353","X360","X368","X375","X383","X390","X398","X405","X413","X420","X425","X435","X440","X450","X455","X465","X470","X480","X485","X495","X500","X510","X515","X525","X530","X540","X545","X555","X560","X570","X585","X600","X615","X630","X645","X660","X675","X690","X705","X720","X735","X750","X765","X780","X795","X810","X825","X840","X855","X870","X885"
"Worcester Union",NA,"4:10",NA,"4:25",NA,"4:40",NA,"4:55",NA,"5:10",NA,"5:25",NA,"5:40",NA,"5:55",NA,"6:15",NA,"6:30",NA,"6:45",NA,"7:00",NA,"7:15",NA,"7:30",NA,"7:45",NA,"8:00",NA,"8:15",NA,"8:30",NA,"8:47",NA,"9:17",NA,"9:47",NA,"10:17",NA,"10:47",NA,"11:17",NA,"11:47",NA,"12:17",NA,"12:47",NA,"13:17",NA,"13:47"
"Biotech Park",NA,"4:13",NA,"4:28",NA,"4:43",NA,"4:58",NA,"5:13",NA,"5:28",NA,"5:43",NA,"5:58",NA,"6:18",NA,"6:33",NA,"6:48",NA,"7:03",NA,"7:18",NA,"7:33",NA,"7:48",NA,"8:03",NA,"8:18",NA,"8:33",NA,"8:50",NA,"9:20",NA,"9:50",NA,"10:20",NA,"10:50",NA,"11:20",NA,"11:50",NA,"12:20",NA,"12:50",NA,"13:20",NA,"13:50"
"Grafton",NA,"4:20",NA,"4:35",NA,"4:50",NA,"5:05",NA,"5:20",NA,"5:35",NA,"5:50",NA,"6:05",NA,"6:25",NA,"6:40",NA,"6:55",NA,"7:10",NA,"7:25",NA,"7:40",NA,"7:55",NA,"8:10",NA,"8:25",NA,"8:40",NA,"8:57",NA,"9:27",NA,"9:57",NA,"10:27",NA,"10:57",NA,"11:27",NA,"11:57",NA,"12:27",NA,"12:57",NA,"13:27",NA,"13:57"
"Westborough",NA,"4:24",NA,"4:39",NA,"4:54",NA,"5:09",NA,"5:24",NA,"5:39",NA,"5:54",NA,"6:09",NA,"6:29",NA,"6:44",NA,"6:59",NA,"7:14",NA,"7:29",NA,"7:44",NA,"7:59",NA,"8:14",NA,"8:29",NA,"8:44",NA,"9:01",NA,"9:31",NA,"10:01",NA,"10:31",NA,"11:01",NA,"11:31",NA,"12:01",NA,"12:31",NA,"13:01",NA,"13:31",NA,"14:01"
"Southborough",NA,"4:28",NA,"4:43",NA,"4:58",NA,"5:13",NA,"5:28",NA,"5:43",NA,"5:58",NA,"6:13",NA,"6:33",NA,"6:48",NA,"7:03",NA,"7:18",NA,"7:33",NA,"7:48",NA,"8:03",NA,"8:18",NA,"8:33",NA,"8:48",NA,"9:05",NA,"9:35",NA,"10:05",NA,"10:35",NA,"11:05",NA,"11:35",NA,"12:05",NA,"12:35",NA,"13:05",NA,"13:35",NA,"14:05"
"Ashland",NA,"4:32",NA,"4:47",NA,"5:02",NA,"5:17",NA,"5:32",NA,"5:47",NA,"6:02",NA,"6:17",NA,"6:37",NA,"6:52",NA,"7:07",NA,"7:22",NA,"7:37",NA,"7:52",NA,"8:07",NA,"8:22",NA,"8:37",NA,"8:52",NA,"9:09",NA,"9:39",NA,"10:09",NA,"10:39",NA,"11:09",NA,"11:39",NA,"12:09",NA,"12:39",NA,"13:09",NA,"13:39",NA,"14:09"
"Framingham","4:27","4:35","4:42","4:50","4:57","5:05","5:12","5:20","5:27","5:35","5:42","5:50","5:57","6:05","6:12","6:20","6:27","6:40","6:42","6:55","6:57","7:10","7:12","7:25","7:27","7:40","7:42","7:55","7:57","8:10","8:12","8:25","8:27","8:40","8:42","8:55","8:57","9:12","9:27","9:42","9:57","10:12","10:27","10:42","10:57","11:12","11:27","11:42","11:57","12:12","12:27","12:42","12:57","13:12","13:27","13:42","13:57","14:12"
"West Natick","4:30","4:38","4:45","4:53","5:00","5:08","5:15","5:23","5:30","5:38","5:45","5:53","6:00","6:08","6:15","6:23","6:30","6:43","6:45","6:58","7:00","7:13","7:15","7:28","7:30","7:43","7:45","7:58","8:00","8:13","8:15","8:28","8:30","8:43","8:45","8:58","9:00","9:15","9:30","9:45","10:00","10:15","10:30","10:45","11:00","11:15","11:30","11:45","12:00","12:15","12:30","12:45","13:00","13:15","13:30","13:45","14:00","14:15"
"Natick Center","4:33","4:40","4:48","4:55","5:03","5:10","5:18","5:25","5:33","5:40","5:48","5:55","6:03","6:10","6:18","6:25","6:33",NA,"6:48",NA,"7:03",NA,"7:18",NA,"7:33",NA,"7:48",NA,"8:03",NA,"8:18",NA,"8:33",NA,"8:48",NA,"9:03","9:17","9:33","9:47","10:03","10:17","10:33","10:47","11:03","11:17","11:33","11:47","12:03","12:17","12:33","12:47","13:03","13:17","13:33","13:47","14:03","14:17"
"Wellesley Square","4:36","4:44","4:51","4:59","5:06","5:14","5:21","5:29","5:36","5:44","5:51","5:59","6:06","6:14","6:21","6:29","6:36",NA,"6:51",NA,"7:06",NA,"7:21",NA,"7:36",NA,"7:51",NA,"8:06",NA,"8:21",NA,"8:36",NA,"8:51",NA,"9:06","9:21","9:36","9:51","10:06","10:21","10:36","10:51","11:06","11:21","11:36","11:51","12:06","12:21","12:36","12:51","13:06","13:21","13:36","13:51","14:06","14:21"
