"","x"
"X300",0
"X308",0
"X315",0
"X323",0
"X330",0
"X338",0
"X345",0
"X353",0
"X360",0
"X368",1
"X375",1
"X383",1
"X390",1
"X398",1
"X405",1
"X413",1
"X420",1
"X425",2
"X435",1
"X440",2
"X450",1
"X455",2
"X465",1
"X470",2
"X480",2
"X485",2
"X495",2
"X500",3
"X510",2
"X515",3
"X525",2
"X530",2
"X540",1
"X545",1
"X555",1
"X560",2
"X570",1
"X585",2
"X600",1
"X615",1
"X630",1
"X645",1
"X660",1
"X675",1
"X690",1
"X705",1
"X720",1
"X735",1
"X750",1
"X765",1
"X780",1
"X795",1
"X810",1
"X825",1
"X840",1
"X855",1
"X870",1
"X885",0
