"","V300","V315","V330","V345","V360","V375","V390","V405","T418","V420","V435","T443","V450","V452L","V467L","V480","V482L","V495","V497L","T508","V510","V512L","V525","V527L","V540","T548","V555","V570","T593","V600","V630","V660","V690","V720"
"Providence",0,0,0,0,8,24,37,48,0,58,58,0,11,95,85,15,143,59,351,0,57,164,21,97,95,0,94,106,0,83,81,60,58,200
"South Attleboro",0,0,0,0,26,84,96,103,0,120,119,0,156,0,0,111,0,252,0,0,153,0,59,0,122,0,121,139,0,110,105,66,66,272
"Attleboro",0,0,0,0,41,135,151,161,0,185,187,0,366,0,0,385,0,427,0,0,270,0,141,0,180,0,177,187,0,139,131,69,69,301
"Mansfield",0,0,0,0,62,209,222,226,0,280,287,0,381,243,219,408,450,457,531,0,301,269,155,166,237,0,234,241,0,171,163,90,91,351
"Sharon",0,0,0,0,71,245,257,257,0,360,376,0,392,351,313,423,582,481,665,0,319,375,171,226,261,0,258,307,0,246,227,98,99,370
"Stoughton",0,0,0,0,0,0,0,0,158,0,0,149,0,0,0,0,0,0,0,337,0,0,0,0,0,113,0,0,66,0,0,0,0,0
"Canton Center",0,0,0,0,0,0,0,0,230,0,0,275,0,0,0,0,0,0,0,489,0,0,0,0,0,175,0,0,104,0,0,0,0,0
"Canton Jct",0,0,0,0,82,284,302,302,236,404,404,300,503,0,0,565,0,617,0,503,392,0,246,0,297,202,313,395,108,262,244,107,102,400
"Route 128",0,0,0,0,88,312,333,350,254,459,436,348,515,399,349,572,673,635,774,552,440,501,258,386,375,225,362,531,118,299,286,150,105,462
"Hyde Park",0,0,0,0,90,320,350,370,256,474,447,361,569,0,0,603,0,663,0,0,466,0,292,0,388,235,383,545,0,303,293,154,107,464
"Ruggles",0,0,0,0,90,320,350,370,0,474,447,0,569,399,349,603,673,663,774,552,466,501,292,386,388,0,383,545,0,303,293,154,107,464
"Back Bay",0,0,0,0,90,320,350,370,256,474,447,361,569,399,349,603,673,663,774,552,466,501,292,386,388,235,383,545,118,303,293,154,107,464
"South Station",0,0,0,0,90,320,350,370,256,474,447,361,569,399,349,603,673,663,774,552,466,501,292,386,388,235,383,545,118,303,293,154,107,464
