"","V300","V315","V330","V345","V360","V375","V390","V405","T418","V420","V435","T443","V450","V452L","V467L","V480","V482L","V495","V497L","T508","V510","V512L","V525","V527L","V540","T548","V555","V570","T593","V600","V630","V660","V690","V720"
"Providence","4:11","4:26","4:41","4:56","5:11","5:26","5:41","5:56",NA,"6:11","6:26",NA,"6:41","6:54","7:09","7:11","7:24","7:26","7:39",NA,"7:41","7:54","7:56","8:09","8:11",NA,"8:26","8:41",NA,"9:11","9:41","10:11","10:41","11:11"
"Pawtucket","4:16","4:31","4:46","5:01","5:16","5:31","5:46","6:01",NA,"6:16","6:31",NA,"6:46",NA,NA,"7:16",NA,"7:31",NA,NA,"7:46",NA,"8:01",NA,"8:16",NA,"8:31","8:46",NA,"9:16","9:46","10:16","10:46","11:16"
"South Attleboro","4:19","4:34","4:49","5:04","5:19","5:34","5:49","6:04",NA,"6:19","6:34",NA,"6:49",NA,NA,"7:19",NA,"7:34",NA,NA,"7:49",NA,"8:04",NA,"8:19",NA,"8:34","8:49",NA,"9:19","9:49","10:19","10:49","11:19"
"Attleboro","4:24","4:39","4:54","5:09","5:24","5:39","5:54","6:09",NA,"6:24","6:39",NA,"6:54",NA,NA,"7:24",NA,"7:39",NA,NA,"7:54",NA,"8:09",NA,"8:24",NA,"8:39","8:54",NA,"9:24","9:54","10:24","10:54","11:24"
"Mansfield","4:30","4:45","5:00","5:15","5:30","5:45","6:00","6:15",NA,"6:30","6:45",NA,"7:00","7:09","7:24","7:30","7:39","7:45","7:54",NA,"8:00","8:09","8:15","8:24","8:30",NA,"8:45","9:00",NA,"9:30","10:00","10:30","11:00","11:30"
"Sharon","4:35","4:50","5:05","5:20","5:35","5:50","6:05","6:20",NA,"6:35","6:50",NA,"7:05","7:14","7:29","7:35","7:44","7:50","7:59",NA,"8:05","8:14","8:20","8:29","8:35",NA,"8:50","9:05",NA,"9:35","10:05","10:35","11:05","11:35"
"Stoughton",NA,NA,NA,NA,NA,NA,NA,NA,"6:20",NA,NA,"6:45",NA,NA,NA,NA,NA,NA,NA,"7:46",NA,NA,NA,NA,NA,"8:30",NA,NA,"9:19",NA,NA,NA,NA,NA
"Canton Center",NA,NA,NA,NA,NA,NA,NA,NA,"6:28",NA,NA,"6:53",NA,NA,NA,NA,NA,NA,NA,"7:54",NA,NA,NA,NA,NA,"8:38",NA,NA,"9:27",NA,NA,NA,NA,NA
"Canton Jct","4:39","4:54","5:09","5:24","5:39","5:54","6:09","6:24","6:31","6:39","6:54","6:56","7:09",NA,NA,"7:39",NA,"7:54",NA,"7:57","8:09",NA,"8:24",NA,"8:39","8:41","8:54","9:09","9:30","9:39","10:09","10:39","11:09","11:39"
"Route 128","4:42","4:57","5:12","5:27","5:42","5:57","6:12","6:27","6:36","6:42","6:57","7:02","7:12","7:20","7:35","7:42","7:50","7:57","8:05","8:03","8:12","8:20","8:27","8:35","8:42","8:46","8:57","9:12","9:35","9:42","10:12","10:42","11:12","11:42"
"Readville","4:45","5:00","5:15","5:30","5:45","6:00","6:15","6:30",NA,"6:45","7:00",NA,"7:15",NA,NA,"7:45",NA,"8:00",NA,NA,"8:15",NA,"8:30",NA,"8:45",NA,"9:00","9:15",NA,"9:45","10:15","10:45","11:15","11:45"
"Hyde Park","4:47","5:02","5:17","5:32","5:47","6:02","6:17","6:32","6:43","6:47","7:02","7:08","7:17",NA,NA,"7:47",NA,"8:02",NA,NA,"8:17",NA,"8:32",NA,"8:47","8:52","9:02","9:17",NA,"9:47","10:17","10:47","11:17","11:47"
"Cummins Hwy","4:49","5:04","5:19","5:34","5:49","6:04","6:19","6:34",NA,"6:49","7:04",NA,"7:19",NA,NA,"7:49",NA,"8:04",NA,NA,"8:19",NA,"8:34",NA,"8:49",NA,"9:04","9:19",NA,"9:49","10:19","10:49","11:19","11:49"
"Forest Hills","4:53","5:08","5:23","5:38","5:53","6:08","6:23","6:38",NA,"6:53","7:08",NA,"7:23",NA,NA,"7:53",NA,"8:08",NA,NA,"8:23",NA,"8:38",NA,"8:53",NA,"9:08","9:23",NA,"9:53","10:23","10:53","11:23","11:53"
"Ruggles","4:56","5:11","5:26","5:41","5:56","6:11","6:26","6:41",NA,"6:56","7:11",NA,"7:26","7:29","7:44","7:56","7:59","8:11","8:14","8:17","8:26","8:29","8:41","8:44","8:56",NA,"9:11","9:26",NA,"9:56","10:26","10:56","11:26","11:56"
"Back Bay","4:58","5:13","5:28","5:43","5:58","6:13","6:28","6:43","6:52","6:58","7:13","7:17","7:28","7:31","7:46","7:58","8:01","8:13","8:16","8:22","8:28","8:31","8:43","8:46","8:58","9:02","9:13","9:28","9:47","9:58","10:28","10:58","11:28","11:58"
"South Station","5:00","5:15","5:30","5:45","6:00","6:15","6:30","6:45","6:58","7:00","7:15","7:23","7:30","7:32","7:47","8:00","8:02","8:15","8:17","8:28","8:30","8:32","8:45","8:47","9:00","9:08","9:15","9:30","9:53","10:00","10:30","11:00","11:30","12:00"
