"","X390","X405","X420","X435","X450","X465","X480","X495","X510","X525","X540","X555","X570","X585","X600","X615","X630","X645"
"Worcester Union",8,6,27,51,47,28,41,78,68,62,40,34,37,35,19,30,28,18
"Biotech Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grafton",11,10,39,76,72,41,61,118,99,113,63,46,51,47,28,34,35,26
"Westborough",17,15,57,112,104,55,77,166,169,171,100,73,75,70,33,39,38,31
"Southborough",26,19,73,140,130,68,101,218,208,211,128,94,90,82,40,45,44,33
"Ashland",29,24,86,176,165,88,138,269,256,253,167,110,100,101,45,50,47,37
"Framingham",41,34,117,228,227,134,207,356,328,339,228,131,125,130,56,59,57,46
"West Natick",61,52,149,284,291,198,274,430,385,416,298,147,147,156,70,73,68,60
"Natick Center",66,57,160,286,292,238,330,488,439,487,358,165,157,169,76,80,76,66
"Wellesley Square",72,66,170,288,292,304,382,524,474,534,422,190,174,186,79,88,79,70
"Wellesley Hills",78,69,171,292,292,330,411,538,493,555,447,194,177,193,80,88,79,70
"Wellesley Farms",79,72,174,296,292,352,437,570,521,590,483,217,189,205,81,89,82,73
"Auburndale",82,76,176,301,292,375,454,580,534,613,500,236,194,206,81,90,82,73
"West Newton",82,78,177,302,292,399,470,591,544,623,515,260,203,213,83,95,83,73
"Newtonville",88,82,185,307,292,425,493,600,557,643,541,291,214,219,88,101,83,73
"Boston Landing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"West Station",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yawkey",88,82,185,307,292,425,493,600,557,643,541,291,214,219,88,101,83,73
"Back Bay",88,82,185,307,292,425,493,600,557,643,541,291,214,219,88,101,83,73
"South Station",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
