"","X360","X372","X384","X396","X408","X420","X432","X444","X456","X468","X480","X492","X504","X516","X528","X540","X552","X564","X576","X588","X600","X612","X624","X636","X648","X660","X672","X684","X696"
"Worcester Union",0,0,3,10,8,15,44,32,38,25,26,58,55,55,64,29,35,37,25,24,25,15,20,12,12,0,0,0,0
"Biotech Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grafton",0,0,4,13,13,21,66,53,55,39,37,87,90,89,103,62,49,49,38,36,29,18,26,20,15,0,0,0,0
"Westborough",0,0,4,16,16,30,93,80,84,52,49,120,145,133,138,97,62,65,52,52,35,22,28,26,17,0,0,0,0
"Southborough",0,0,6,21,20,44,125,107,107,63,62,161,181,169,173,120,83,85,75,68,40,25,33,28,22,0,0,0,0
"Ashland",0,0,8,23,22,61,151,132,128,83,75,209,225,218,220,151,93,97,91,81,44,27,33,31,25,0,0,0,0
"Framingham",0,0,11,31,29,77,199,172,171,124,124,307,283,274,289,207,110,111,111,102,56,35,41,39,34,0,0,0,0
"West Natick",0,0,22,43,37,88,240,224,210,170,167,391,319,308,352,265,124,125,127,116,70,45,48,49,40,0,0,0,0
"Natick Center",0,0,28,44,41,91,243,228,213,200,210,456,365,344,411,322,137,144,137,124,74,46,50,54,46,0,0,0,0
"Wellesley Square",0,0,29,50,45,95,246,229,221,253,241,477,392,365,453,379,152,158,147,136,78,49,52,57,49,0,0,0,0
"Wellesley Hills",0,0,31,53,49,97,249,229,223,264,261,489,406,377,471,398,159,163,153,142,78,49,52,57,49,0,0,0,0
"Wellesley Farms",0,0,31,53,52,98,250,230,226,288,277,509,428,397,494,430,177,180,162,152,81,51,57,58,50,0,0,0,0
"Auburndale",0,0,34,54,55,103,253,232,231,309,292,519,434,406,498,445,193,197,162,153,83,51,58,58,50,0,0,0,0
"West Newton",0,0,34,55,55,104,253,232,231,328,302,530,441,415,503,463,214,209,165,157,87,52,63,58,50,0,0,0,0
"Newtonville",0,0,35,58,60,108,257,236,233,350,327,540,452,428,515,483,236,224,168,164,98,59,67,58,50,0,0,0,0
"Boston Landing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"West Station",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yawkey",0,0,35,58,60,108,257,236,233,350,327,540,452,428,515,483,236,224,168,164,98,59,67,58,50,0,0,0,0
"Back Bay",0,0,35,58,60,108,257,236,233,350,327,540,452,428,515,483,236,224,168,164,98,59,67,58,50,0,0,0,0
"South Station",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
