"","X360","X370","X380","X390","X400","X410","X420","X430","X440","X450","X460","X470","X480","X490","X500","X510","X520","X530","X540","X550","X560","X570","X580","X590","X600","X610","X620","X630","X640","X650","X660","X670","X680","X690","X700"
"Worcester Union",0,0,0,7,9,4,10,36,33,30,33,15,23,53,31,42,45,35,34,26,25,24,28,17,21,8,15,5,17,11,0,0,0,0,0
"Biotech Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grafton",0,0,0,9,10,6,16,61,50,47,46,27,33,74,54,67,73,56,48,31,29,36,33,23,26,10,20,9,20,15,0,0,0,0,0
"Westborough",0,0,0,13,14,9,30,92,68,75,60,33,39,99,80,113,117,95,76,48,39,56,46,34,29,12,21,11,20,17,0,0,0,0,0
"Southborough",0,0,0,15,18,12,40,114,91,100,66,42,49,131,102,147,144,126,101,63,49,67,64,46,34,14,23,13,25,18,0,0,0,0,0
"Ashland",0,0,0,20,19,13,53,140,114,119,77,60,62,174,133,191,179,162,133,76,61,79,73,52,36,17,25,18,28,22,0,0,0,0,0
"Framingham",0,0,0,25,29,20,67,168,144,152,109,89,96,255,178,244,234,220,185,88,77,99,95,69,41,24,32,31,38,25,0,0,0,0,0
"West Natick",0,0,0,39,39,30,82,206,181,179,147,128,149,326,218,288,277,278,243,98,84,108,116,81,52,30,42,42,47,35,0,0,0,0,0
"Natick Center",0,0,0,43,43,36,83,212,188,179,167,157,182,378,249,326,309,327,305,113,96,119,123,91,58,34,47,47,51,38,0,0,0,0,0
"Wellesley Square",0,0,0,46,46,38,86,214,193,179,182,192,222,404,269,344,334,364,368,125,111,126,136,99,59,35,49,49,53,43,0,0,0,0,0
"Wellesley Hills",0,0,0,48,48,39,90,216,195,179,190,210,237,417,274,357,348,385,391,129,115,128,143,104,59,35,49,49,53,43,0,0,0,0,0
"Wellesley Farms",0,0,0,50,50,40,93,218,196,179,200,223,250,432,293,377,366,401,419,139,135,140,150,112,60,35,51,50,55,46,0,0,0,0,0
"Auburndale",0,0,0,53,51,40,95,218,198,179,207,238,261,439,303,392,378,415,427,156,145,147,150,114,61,38,52,51,55,46,0,0,0,0,0
"West Newton",0,0,0,54,52,40,95,218,198,179,210,254,274,443,310,400,385,423,444,173,157,153,157,117,62,41,55,51,55,46,0,0,0,0,0
"Newtonville",0,0,0,61,57,44,100,225,204,179,221,271,294,450,324,409,394,434,464,194,173,162,159,121,65,44,60,52,55,46,0,0,0,0,0
"Boston Landing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"West Station",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yawkey",0,0,0,61,57,44,100,225,204,179,221,271,294,450,324,409,394,434,464,194,173,162,159,121,65,44,60,52,55,46,0,0,0,0,0
"Back Bay",0,0,0,61,57,44,100,225,204,179,221,271,294,450,324,409,394,434,464,194,173,162,159,121,65,44,60,52,55,46,0,0,0,0,0
"South Station",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
